Month,Revenue ($),Foot Traffic (Visitors),E-commerce Orders (#),Product Category,Sales by Product Category ($),Social Media Platform,Campaign Type,Impressions,Engagements,Marketing Spend ($),Email Opens,Email Click-Throughs,Inventory Level (Units),Customer Source,Customer Feedback (Rating),Customer Gender,Customer Age,Customer Income ($),Bundling Indicator
1/1/2021,5000,500,7,Clothing,2000,Facebook,Social Media,3630,200,1000,106,148,50,Social Media,3,Male,20,80000,0
1/1/2021,10000,500,11,Accessories,1000,Facebook,In-Store Event,7544,200,1000,145,193,50,Community,3,Female,50,20000,0
1/1/2021,7000,100,15,Clothing,5000,Email,In-Store Event,5033,200,2000,251,167,100,Social Media,3,Male,40,60000,0
1/1/2021,7000,500,12,Clothing,2000,Email,Networking Event,6047,500,2000,493,178,100,Social Media,4,Female,50,20000,0
1/2/2021,3000,500,10,Home Goods,2000,LinkedIn,Email,13213,50,2000,301,147,50,Community,4,Male,40,60000,0
1/2/2021,3000,500,8,Home Goods,2000,Instagram,Social Media,1467,500,2000,69,56,200,Community,5,Female,30,60000,1
1/2/2021,2000,700,11,Accessories,5000,Instagram,Email,1904,500,3000,30,4,100,Social Media,3,Male,20,40000,0
1/3/2021,10000,500,12,Clothing,2000,Facebook,Social Media,9177,200,1000,92,13,100,Social Media,4,Female,30,60000,0
1/3/2021,7000,700,8,Accessories,1000,Instagram,Social Media,10447,200,2000,136,279,50,Social Media,4,Female,40,20000,0
1/3/2021,7000,700,12,Accessories,5000,Instagram,In-Store Event,4130,500,2000,373,215,200,Social Media,5,Non-Binary,40,60000,0
1/4/2021,2000,700,12,Clothing,5000,Instagram,In-Store Event,3468,1000,2000,162,174,200,Community,3,Male,30,60000,1
1/4/2021,10000,700,7,Clothing,8000,Instagram,Social Media,7769,1000,1000,80,2,200,Social Media,5,Male,20,40000,1
1/4/2021,10000,1000,12,Home Goods,1000,Facebook,Email,2079,1000,2000,315,136,50,Community,4,Female,30,20000,0
1/4/2021,3000,100,8,Clothing,5000,Facebook,In-Store Event,11487,3000,3000,75,99,100,Referral,4,Male,30,60000,1
1/5/2021,3000,300,4,Accessories,5000,Facebook,Email,6492,500,500,62,82,400,Social Media,1,Female,20,40000,0
1/5/2021,3000,100,5,Clothing,1000,Facebook,Social Media,550,3000,2000,99,279,100,Community,3,Non-Binary,30,20000,0
1/5/2021,5000,700,12,Clothing,5000,Instagram,Email,6952,1000,1000,435,131,50,Community,4,Female,20,80000,1
1/6/2021,5000,1000,9,Clothing,2000,Instagram,Social Media,5653,1000,3000,47,0,200,Community,1,Male,50,40000,1
1/6/2021,5000,300,9,Home Goods,8000,Instagram,In-Store Event,10351,50,1000,444,115,50,Community,3,Female,30,60000,0
1/6/2021,3000,1000,7,Clothing,1000,Instagram,Email,14400,3000,500,407,201,100,Social Media,5,Non-Binary,50,60000,0
1/7/2021,7000,100,8,Accessories,5000,Email,Social Media,6523,500,1000,73,139,50,Events,3,Female,30,40000,0
1/7/2021,3000,1000,11,Accessories,2000,Email,Social Media,4800,1000,2000,313,145,100,Social Media,2,Female,40,20000,0
1/7/2021,3000,500,8,Accessories,8000,Facebook,In-Store Event,3287,50,100,191,265,100,Social Media,4,Non-Binary,20,60000,0
1/7/2021,5000,300,11,Home Goods,2000,Instagram,In-Store Event,13881,200,2000,29,201,50,Events,1,Non-Binary,40,20000,0
1/8/2021,5000,500,11,Accessories,8000,Facebook,Email,13320,200,3000,156,151,200,Social Media,4,Non-Binary,30,20000,1
1/8/2021,7000,500,7,Clothing,8000,Facebook,Email,2655,200,2000,486,221,100,Community,4,Female,20,60000,0
